Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,LU - BYU,,
,,5:53,Misc Stat > Offensive Rebound > Shaylee Gonzales,,,
LU,2,5:34,24 Casey Collier > ISO > Top > Drives Left > Defense Commits,18,-,28
,,,Ball Delivered,,,
,,,21 Bella Vinson > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,,,
,,5:34,Shot > Bella Vinson > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,5:34,Misc Stat > Assist > Casey Collier,,,
BYU,2,5:21,10 Tegan Graham > Off Screen > To Shooter's Right > Flare > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,18,-,28
,,5:21,Shot > Tegan Graham > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,5:17,Misc Stat > Defensive Rebound > Blythe Pearson,,,
LU,2,5:09,24 Casey Collier > Transition > Left Wing > To Basket > Miss 2 Pts,18,-,28
,,5:09,Shot > Casey Collier > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,5:05,Misc Stat > Defensive Rebound > Paisley Johnson,,,
BYU,2,5:00,10 Tegan Graham > Transition > Left Wing > To Basket > Foul,18,-,28
,,5:00,Personal Foul > Defensive - Any > Jaylin Holcomb,,,
BYU,2,5:00,10 Tegan Graham > Non Possession > Free Throw,18,-,29
,,5:00,Shot > Tegan Graham > Free Throw > Made,,,
,,5:00,Player Movement > Sub Out > Home Player > Emma Calvert,,,
,,5:00,Player Movement > Sub Out > Home Player > Shaylee Gonzales,,,
,,5:00,Player Movement > Sub In > Home Player > Lauren Gustin,,,
,,5:00,Player Movement > Sub In > Home Player > Nani Falatea,,,
BYU,2,5:00,10 Tegan Graham > Non Possession > Free Throw,18,-,30
,,5:00,Shot > Tegan Graham > Free Throw > Made,,,
LU,2,4:41,1 Jordan Peete > Non Possession > Non Shooting Foul,18,-,30
,,4:41,Personal Foul > Defensive - Any > Nani Falatea,,,
LU,2,4:36,23 Jaylin Holcomb > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts,18,-,30
,,4:36,Shot > Jaylin Holcomb > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,4:32,Misc Stat > Defensive Rebound > Lauren Gustin,,,
BYU,2,4:12,13 Paisley Johnson > Off Screen > To Shooter's Right > Straight > To Basket > Foul,18,-,30
,,4:12,Personal Foul > Defensive - Any > Jaylin Holcomb,,,
BYU,2,4:12,13 Paisley Johnson > Non Possession > Free Throw,18,-,30
,,4:12,Shot > Paisley Johnson > Free Throw > Missed,,,
,,4:12,Misc Stat > Team Offensive Rebound > Home,,,
BYU,2,4:12,13 Paisley Johnson > Non Possession > Free Throw,18,-,31
,,4:12,Shot > Paisley Johnson > Free Throw > Made,,,
LU,2,3:56,23 Jaylin Holcomb > P&R Ball Handler > Right P&R > Side > Defense Commits,18,-,31
,,,Ball Delivered,,,
,,,21 Bella Vinson > P&R Roll Man > Slips the Pick > To Basket > Miss 2 Pts,,,
,,3:56,Shot > Bella Vinson > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,3:51,Misc Stat > Defensive Rebound > Nani Falatea,,,
BYU,2,3:48,11 Kaylee Smiler > Transition > Trailer > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,18,-,34
,,3:48,Shot > Kaylee Smiler > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,3:48,Misc Stat > Assist > Paisley Johnson,,,
LU,2,3:29,1 Jordan Peete > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > To Basket > Make 2 Pts,20,-,34
,,3:29,Shot > Jordan Peete > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,3:18,Misc Stat > Assist > Kaylee Smiler,,,
BYU,2,3:18,3 Nani Falatea > Transition > Trailer > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,20,-,37
,,3:18,Shot > Nani Falatea > Any Type > 3 Point Attempt > Make 3 Pts,,,
LU,2,2:59,23 Jaylin Holcomb > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,20,-,37
,,,Ball Delivered,,,
,,,21 Bella Vinson > P&R Roll Man > Pick and Pops > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,,,
,,2:59,Shot > Bella Vinson > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,2:55,Misc Stat > Defensive Rebound > Paisley Johnson,,,
BYU,2,2:43,10 Tegan Graham > No Play Type > Turnover,20,-,37
,,2:43,Player Movement > Sub Out > Home Player > Tegan Graham,,,
,,2:43,Personal Foul > Offensive Foul - Player Control > Tegan Graham,,,
,,2:43,Player Movement > Sub In > Home Player > Sara Hamson,,,
,,2:43,Turnover > Any Type > Tegan Graham,,,
,,2:43,Player Movement > Sub In > Away Player > Maddie Cook,,,
,,2:43,Player Movement > Sub Out > Away Player > Blythe Pearson,,,
LU,2,2:40,22 Maddie Cook > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Short to < 17' > Miss 2 Pts,20,-,37
,,2:40,Shot > Maddie Cook > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,2:37,Misc Stat > Defensive Rebound > Sara Hamson,,,
BYU,2,2:33,13 Paisley Johnson > Transition > Left Wing > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,20,-,37
,,2:33,Shot > Paisley Johnson > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,2:29,Misc Stat > Defensive Rebound > Casey Collier,,,
LU,2,2:23,24 Casey Collier > Transition > Ballhandler > Foul,21,-,37
,,2:23,Personal Foul > Defensive - Any > Nani Falatea,,,
LU,2,2:23,24 Casey Collier > Non Possession > Free Throw,20,-,37
,,2:23,Shot > Casey Collier > Free Throw > Missed,,,
,,2:23,Player Movement > Sub In > Home Player > Maria Albiero,,,
,,2:23,Player Movement > Sub In > Home Player > Shaylee Gonzales,,,
,,2:23,Misc Stat > Team Offensive Rebound > Away,,,
LU,2,2:23,24 Casey Collier > Non Possession > Free Throw,21,-,37
,,2:23,Shot > Casey Collier > Free Throw > Made,,,
,,2:23,Player Movement > Sub Out > Home Player > Paisley Johnson,,,
BYU,2,2:23,22 Sara Hamson > Post-Up > Left Block > Defense Commits > Turnover,21,-,37
,,2:23,Player Movement > Sub Out > Home Player > Kaylee Smiler,,,
