Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,BYU - MTS,,
BYU,2,0:22,12 Lauren Gustin > Post-Up > Right Block > Defense Commits,46,-,32
,,,Ball Delivered,,,
,,,22 Sara Hamson > Cut > Basket > Make 2 Pts,,,
,,0:22,Shot > Sara Hamson > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,0:22,Misc Stat > Assist > Lauren Gustin,,,
MTS,2,0:03,0 Darian White > ISO > Left > Early Jumper > Dribble Jumper > Long/3pt > Miss 3 Pts,46,-,32
,,0:03,Shot > Darian White > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,0:00,Misc Stat > Defensive Rebound > Lauren Gustin,,,
Play By Play (3rd),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,BYU - MTS,,
BYU,3,9:39,13 Paisley Harding > Spot-Up > Drives Right > Dribble Jumper > Short to < 17' > Miss 2 Pts,46,-,32
,,9:39,Shot > Paisley Harding > Any Type > 2 Point Attempt > Miss 2 Pts,,,
MTS,3,9:27,11 Katelynn Limardo > Non Possession > Non Shooting Foul,46,-,32
,,9:27,Personal Foul > Defensive - Any > Tegan Graham,,,
MTS,3,9:19,15 Leia Beattie > Off Screen > To Shooter's Left > Straight > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,46,-,35
,,9:19,Shot > Leia Beattie > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,9:19,Misc Stat > Assist > Darian White,,,
BYU,3,9:06,2 Shaylee Gonzales > Cut > Basket > Make 2 Pts,48,-,35
,,9:06,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,9:06,Misc Stat > Assist > Paisley Harding,,,
MTS,3,8:53,0 Darian White > No Play Type > Dribble Jumper > Short to < 17' > Miss 2 Pts,48,-,35
,,8:53,Shot > Darian White > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,8:49,Misc Stat > Defensive Rebound > Lauren Gustin,,,
BYU,3,8:44,5 Maria Albiero > Transition > Left Wing > Turnover,48,-,35
,,8:44,Misc Stat > Steal > Darian White,,,
,,8:44,Turnover > Any Type > Maria Albiero,,,
MTS,3,8:29,23 Gabby Mocchi > Spot-Up > Drives Left > Turnover,48,-,35
,,8:29,Misc Stat > Steal > Tegan Graham,,,
,,8:29,Turnover > Any Type > Gabby Mocchi,,,
BYU,3,8:21,12 Lauren Gustin > Transition > First Middle > To Basket > Make 2 Pts,50,-,35
,,8:21,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,8:21,Misc Stat > Assist > Shaylee Gonzales,,,
MTS,3,8:02,15 Leia Beattie > Cut > Basket > Make 2 Pts,50,-,37
,,8:02,Shot > Leia Beattie > Any Type > 2 Point Attempt > Make 2 Pts,,,
BYU,3,7:43,10 Tegan Graham > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,50,-,37
,,7:43,Shot > Tegan Graham > Any Type > 3 Point Attempt > Miss 3 Pts,,,
BYU,3,7:38,2 Shaylee Gonzales > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts,52,-,37
,,7:38,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,7:39,Misc Stat > Offensive Rebound > Shaylee Gonzales,,,
MTS,3,7:25,0 Darian White > P&R Ball Handler > Right P&R > Baseline > Dribble Off Pick > Defense Commits,52,-,37
,,,Ball Delivered,,,
,,,15 Leia Beattie > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,,,
,,7:25,Shot > Leia Beattie > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,7:18,Misc Stat > Defensive Rebound > Lauren Gustin,,,
BYU,3,7:03,13 Paisley Harding > Off Screen > To Shooter's Left > Straight > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,52,-,37
