Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,FS - BYU,,
,,4:55,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,5:00,Player Movement > Sub Out > Away Player > Maria Guimaraes,,,
,,5:00,Player Movement > Sub Out > Away Player > Tamia Stricklin,,,
,,5:00,Player Movement > Sub In > Home Player > Lauren Gustin,,,
,,5:00,Player Movement > Sub In > Away Player > Imani Lacy,,,
,,5:00,Player Movement > Sub Out > Home Player > Sara Hamson,,,
,,5:00,Player Movement > Sub In > Away Player > Haley Cavinder,,,
FS,2,4:34,1 Haley Cavinder > Non Possession > Non Shooting Foul,21,-,31
,,4:34,Personal Foul > Defensive - Any > Shaylee Gonzales,,,
FS,2,4:29,0 Hanna Cavinder > Spot-Up > Drives Right > To Basket > Make 2 Pts,23,-,31
,,4:29,Shot > Hanna Cavinder > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,4:29,Misc Stat > Assist > Haley Cavinder,,,
BYU,2,4:12,12 Lauren Gustin > Cut > Basket > Make 2 Pts,23,-,33
,,4:12,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,4:12,Misc Stat > Assist > Maria Albiero,,,
FS,2,3:56,0 Hanna Cavinder > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits,23,-,33
,,,Ball Delivered,,,
,,,30 Yanina Todorova > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,,,
,,3:56,Shot > Yanina Todorova > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,3:56,Misc Stat > Defensive Rebound > Tegan Graham,,,
BYU,2,3:46,13 Paisley Johnson > Transition > Left Wing > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,23,-,33
,,3:46,Shot > Paisley Johnson > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,3:46,Misc Stat > Team Defensive Rebound > Away,,,
FS,2,3:20,1 Haley Cavinder > P&R Ball Handler > Right P&R > Side > Go Away from Pick > Defense Commits,25,-,33
,,,Ball Delivered,,,
,,,21 Imani Lacy > P&R Roll Man > Rolls to Basket > Make 2 Pts,,,
,,3:20,Shot > Imani Lacy > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,3:40,Player Movement > Sub Out > Away Player > Yanina Todorova,,,
,,3:40,Player Movement > Sub In > Home Player > Nani Falatea,,,
,,3:40,Player Movement > Sub Out > Home Player > Shaylee Gonzales,,,
,,3:40,Player Movement > Sub In > Away Player > Daylee Dunn,,,
,,3:20,Misc Stat > Assist > Haley Cavinder,,,
BYU,2,3:05,12 Lauren Gustin > Cut > Basket > Make 2 Pts,25,-,35
,,3:05,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,3:05,Misc Stat > Assist > Nani Falatea,,,
FS,2,2:48,5 Daylee Dunn > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,25,-,35
,,2:48,Shot > Daylee Dunn > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,2:48,Misc Stat > Defensive Rebound > Nani Falatea,,,
BYU,2,2:28,13 Paisley Johnson > Cut > Basket > Miss 2 Pts,25,-,35
,,2:28,Shot > Paisley Johnson > Any Type > 2 Point Attempt > Miss 2 Pts,,,
BYU,2,2:23,12 Lauren Gustin > Offensive Rebound > Short > Scoring Attempt > Short to < 17' > Miss 2 Pts,25,-,35
,,2:23,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,2:28,Misc Stat > Offensive Rebound > Lauren Gustin,,,
BYU,2,2:19,12 Lauren Gustin > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts,25,-,37
,,2:19,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,2:23,Misc Stat > Offensive Rebound > Lauren Gustin,,,
FS,2,1:59,1 Haley Cavinder > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,25,-,37
,,1:59,Shot > Haley Cavinder > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,1:59,Misc Stat > Team Defensive Rebound > Home,,,
BYU,2,1:43,2 Shaylee Gonzales > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,25,-,37
,,,Ball Delivered,,,
,,,12 Lauren Gustin > Spot-Up > Drives Right > To Basket > Miss 2 Pts,,,
,,1:43,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Miss 2 Pts,,,
