Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,FSU - BYU,,
BYU,2,5:00,10 Tegan Graham > Spot-Up > Drives Left > Dribble Jumper > Short to < 17' > Make 2 Pts,21,-,29
,,5:00,Shot > Tegan Graham > Any Type > 2 Point Attempt > Make 2 Pts,,,
FSU,2,4:40,4 Sara Bejedi > Hand Off > From Dribble > Left > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,21,-,29
,,4:40,Shot > Sara Bejedi > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,4:38,Misc Stat > Defensive Rebound > Maria Albiero,,,
BYU,2,4:28,12 Lauren Gustin > Non Possession > Non Shooting Foul,21,-,29
,,4:28,Personal Foul > Defensive - Any > Makayla Timpson,,,
BYU,2,4:28,2 Shaylee Gonzales > Off Screen > To Shooter's Right > Straight > Turnover,21,-,29
,,4:28,Player Movement > Sub In > Away Player > Morgan Jones,,,
,,4:28,Player Movement > Sub In > Home Player > Emma Calvert,,,
,,4:28,Player Movement > Sub Out > Home Player > Lauren Gustin,,,
,,4:28,Player Movement > Sub Out > Away Player > Kourtney Weber,,,
,,4:21,Turnover > Any Type > Shaylee Gonzales,,,
,,4:21,Personal Foul > Offensive Foul - Player Control > Shaylee Gonzales,,,
FSU,2,4:06,4 Sara Bejedi > Spot-Up > Drives Right > Turnover,21,-,29
,,4:06,Turnover > Any Type > Sara Bejedi,,,
BYU,2,4:06,13 Paisley Johnson > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,21,-,29
,,,Ball Delivered,,,
,,,2 Shaylee Gonzales > Spot-Up > Drives Left > Turnover,,,
,,4:06,Player Movement > Sub In > Away Player > O'Mariah Gordon,,,
,,4:06,Player Movement > Sub Out > Away Player > Sara Bejedi,,,
,,3:43,Turnover > Any Type > Shaylee Gonzales,,,
FSU,2,3:33,11 O’Mariah Gordon > No Play Type > Turnover,21,-,29
,,3:33,Turnover > Any Type > O'Mariah Gordon,,,
BYU,2,3:24,25 Emma Calvert > No Play Type > Turnover,21,-,29
,,3:24,Personal Foul > Offensive Foul - Player Control > Emma Calvert,,,
,,3:24,Turnover > Any Type > Emma Calvert,,,
FSU,2,3:05,11 O’Mariah Gordon > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits,21,-,29
,,,Ball Delivered,,,
,,,2 Sammie Puisis > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,,,
,,3:05,Shot > Sammie Puisis > Any Type > 3 Point Attempt > Miss 3 Pts,,,
BYU,2,3:04,25 Emma Calvert > No Play Type > Foul,21,-,29
,,3:04,Personal Foul > Defensive - Any > Makayla Timpson,,,
BYU,2,3:04,25 Emma Calvert > Non Possession > Free Throw,21,-,30
,,3:04,Shot > Emma Calvert > Free Throw > Missed,,,
,,3:04,Misc Stat > Team Offensive Rebound > Home,,,
BYU,2,3:04,25 Emma Calvert > Non Possession > Free Throw,21,-,30
,,3:04,Shot > Emma Calvert > Free Throw > Made,,,
,,3:04,Player Movement > Sub Out > Away Player > Makayla Timpson,,,
,,3:04,Player Movement > Sub In > Away Player > Kourtney Weber,,,
,,3:04,Player Movement > Sub Out > Home Player > Tegan Graham,,,
,,3:04,Player Movement > Sub In > Away Player > Valencia Myers,,,
,,3:04,Player Movement > Sub Out > Away Player > Sammie Puisis,,,
,,3:04,Player Movement > Sub In > Home Player > Nani Falatea,,,
FSU,2,2:37,1 River Baldwin > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts,23,-,30
,,2:37,Shot > River Baldwin > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,2:38,Misc Stat > Offensive Rebound > River Baldwin,,,
BYU,2,2:15,2 Shaylee Gonzales > P&R Ball Handler > Right P&R > Baseline > Dribble Off Pick > Defense Commits,23,-,30
,,,Ball Delivered,,,
,,,25 Emma Calvert > P&R Roll Man > Pick and Pops > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,,,
