"","Player Name","Position","Institution","Initiated Date","BPM_Pred","Percentile","GP","MPG","PPG","REBPG","ASTPG","STLPG","BLKPG","TOPG","FG.","FT.","X3P.","TMIN","FGM","FGA","FTM","FTA","X3PM","X3PA","PTS","OR","DR","TREB","AST","TO","STL","BLK"
"237","AJA BLOUNT","F","Coastal Carolina University","03/07/2022",3.27286033581179,0.51,26,31.1,19.7,9.5,1.7,1.1,0.2,3,47,77.3,29.9,809,185,394,119,154,23,77,512,83,164,247,44,77,28,5
"238","EMMA NOLAN","F","St. John's University (New York)","03/09/2022",3.24452039079409,0.51,28,12.1,2.6,2.9,0.4,0.5,0.4,0.5,42.6,65.2,22.2,338,26,61,15,23,6,27,73,32,49,81,11,13,13,11
"239","ELISE HARDEN","F","Tennessee State University","03/25/2022",3.20266347049772,0.5,24,17.5,7,4.7,0.3,1,0.7,2,50.7,44.7,0,421,74,146,21,47,0,0,169,41,72,113,8,47,24,17
"240","JORDAN PEETE","G","Lipscomb University","03/15/2022",3.19263372813224,0.5,30,28.3,7.5,1.3,0.9,0.9,0.2,1.9,42,59.1,31.9,848,84,200,26,44,30,94,224,5,33,38,26,56,28,5
"241","SYDNEY BEVINGTON","G","Santa Clara University","03/15/2022",3.18562944333038,0.5,10,5.6,0.5,1.2,0.6,0.1,0,0.3,12.5,75,0,56,1,8,3,4,0,1,5,1,11,12,6,3,1,0
"242","OLIVIA MASON","F","Niagara University","03/01/2022",3.16333911757747,0.5,29,22.7,6.9,5.7,0.9,1.8,0.2,1.4,46.3,48.6,100,658,82,177,34,70,1,1,199,74,91,165,26,41,51,5
"243","KYANNA MORGAN","G","Radford University","03/17/2022",3.16146919734489,0.5,28,20,7,2.9,1.7,1,0.1,2.1,39.7,59.4,39.2,560,73,184,19,32,31,79,196,11,69,80,47,58,28,4
"244","CHARISSE FAIRLEY","F","California State University, Fresno","03/09/2022",3.14014610956677,0.49,13,5.9,2.2,0.5,0,0,0.1,0.5,40.9,100,40,77,9,22,4,4,6,15,28,1,5,6,0,7,0,1
"245","GIONNA CARR","G","Tennessee State University","03/16/2022",3.13438104514427,0.49,14,5.3,0.3,0.9,0.2,0.3,0,0.3,22.2,0,0,74,2,9,0,3,0,2,4,6,6,12,3,4,4,0
"246","HAYLEY BERFIELD","G","High Point University","03/14/2022",3.09530225874728,0.48,14,8.2,1.9,0.6,0.1,0.5,0,0.4,29,66.7,23.8,115,9,31,2,3,5,21,27,4,4,8,1,5,7,0
"247","SYDNEY THURWALKER","G","University of Evansville","03/22/2022",3.09353663179103,0.48,7,5.9,0.7,1.9,0,0,0,0.1,22.2,50,0,41,2,9,1,2,0,2,5,7,6,13,0,1,0,0
"248","TRINITY KLOCK","F","South Carolina State University","03/28/2022",3.08396639922878,0.48,29,28.1,9.8,6.9,0.8,0.5,1.6,3.1,36.3,67.9,19.4,814,107,295,57,84,12,62,283,49,151,200,24,91,15,45
"249","HANNAH GIDDEY","F","Oral Roberts University","03/10/2022",3.0757290912279,0.48,8,3.6,0.9,0.5,0.4,0,0.1,0,60,50,0,29,3,5,1,2,0,0,7,0,4,4,3,0,0,1
"250","SYDNEY WATKINS","G","Manhattan College","03/22/2022",3.07425628699982,0.48,29,9.8,3.2,0.6,0.3,0.2,0,0.4,32.7,0,36.1,285,32,98,0,0,30,83,94,0,16,16,8,12,5,0
"251","SYDNEY WATKINS","G","Manhattan College","03/22/2022",3.07425628699982,0.48,15,5.2,0.3,0.7,0.2,0.6,0,0.3,20,50,0,78,2,10,1,2,0,0,5,4,6,10,3,5,9,0
"252","KEMERY MARTIN","G","University of Utah","03/24/2022",3.07396516943958,0.48,6,10.8,2.8,1.3,0.8,0,0,0.8,31.8,100,9.1,65,7,22,2,2,1,11,17,2,6,8,5,5,0,0
