Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,BYU - UWV,,
UWV,2,6:06,3 Kirsten Deans > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Dribble Jumper > Short to < 17' > Miss 2 Pts,17,-,28
,,6:06,Shot > Kirsten Deans > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,6:06,Misc Stat > Team Defensive Rebound > Away,,,
BYU,2,5:52,2 Shaylee Gonzales > Off Screen > To Shooter's Right > Straight > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,17,-,28
,,5:52,Shot > Shaylee Gonzales > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,5:51,Misc Stat > Defensive Rebound > Blessing Ejiofor,,,
,,5:50,Personal Foul > Defensive - Any > Jayla Hemingway,,,
BYU,2,5:44,13 Paisley Johnson > No Play Type > Foul,17,-,28
,,5:44,Personal Foul > Defensive - Any > Esmery Martinez,,,
BYU,2,5:44,13 Paisley Johnson > Non Possession > Free Throw,18,-,28
,,5:44,Shot > Paisley Johnson > Free Throw > Made,,,
,,5:44,Player Movement > Sub Out > Home Player > Jayla Hemingway,,,
,,5:44,Player Movement > Sub In > Home Player > Jasmine Carson,,,
BYU,2,5:44,13 Paisley Johnson > Non Possession > Free Throw,19,-,28
,,5:44,Shot > Paisley Johnson > Free Throw > Made,,,
,,5:44,Player Movement > Sub In > Away Player > Sara Hamson,,,
,,5:44,Player Movement > Sub Out > Away Player > Paisley Johnson,,,
UWV,2,5:29,3 Kirsten Deans > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,19,-,28
,,5:29,Shot > Kirsten Deans > Any Type > 3 Point Attempt > Miss 3 Pts,,,
UWV,2,5:27,12 Esmery Martinez > Offensive Rebound > Short > Scoring Attempt > At Basket > Foul,19,-,28
,,5:27,Misc Stat > Offensive Rebound > Esmery Martinez,,,
,,5:26,Player Movement > Sub Out > Away Player > Lauren Gustin,,,
,,5:26,Personal Foul > Defensive - Any > Lauren Gustin,,,
,,5:26,Player Movement > Sub In > Home Player > Yemiyah Morris,,,
,,5:26,Player Movement > Sub In > Away Player > Emma Calvert,,,
UWV,2,5:26,12 Esmery Martinez > Non Possession > Free Throw,19,-,28
,,5:26,Shot > Esmery Martinez > Free Throw > Missed,,,
UWV,2,5:26,12 Esmery Martinez > Non Possession > Free Throw,19,-,29
,,5:26,Shot > Esmery Martinez > Free Throw > Made,,,
,,5:26,Player Movement > Sub Out > Home Player > Blessing Ejiofor,,,
BYU,2,5:08,10 Tegan Graham > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,22,-,29
,,5:08,Shot > Tegan Graham > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,5:08,Misc Stat > Assist > Maria Albiero,,,
UWV,2,4:52,20 Yemiyah Morris > Non Possession > Non Shooting Foul,22,-,29
,,4:52,Personal Foul > Defensive - Any > Sara Hamson,,,
UWV,2,4:42,3 Kirsten Deans > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Turnover,22,-,29
,,4:42,Turnover > Any Type > Kirsten Deans,,,
