Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,BSU - BYU,,
,,3:02,Player Movement > Sub In > Home Player > Nani Falatea,,,
,,3:02,Player Movement > Sub Out > Away Player > Rachel Bowers,,,
,,3:02,Player Movement > Sub Out > Home Player > Arielle Mackeywilliams,,,
,,3:02,Misc Stat > Offensive Rebound > Arielle Mackeywilliams,,,
,,3:02,Player Movement > Sub In > Away Player > Elodie Lalotte,,,
,,3:02,Player Movement > Sub Out > Away Player > Anna Ostlie,,,
BYU,2,2:58,2 Shaylee Gonzales > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts,21,-,31
,,2:58,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,2:53,Misc Stat > Team Defensive Rebound > Away,,,
BSU,2,2:39,23 Elodie Lalotte > Post-Up > Left Block > Right Shoulder > Dribble Move > Defense Commits,21,-,31
,,,Ball Delivered,,,
,,,15 Dominique Leonidas > Spot-Up > Drives Right > Dribble Jumper > Short to < 17' > Miss 2 Pts,,,
,,2:39,Shot > Dominique Leonidas > Any Type > 2 Point Attempt > Miss 2 Pts,,,
BSU,2,2:36,12 Mary-Kay Naro > Offensive Rebound > Long > Run Offense,21,-,31
,,2:36,Misc Stat > Offensive Rebound > Mary-Kay Naro,,,
BSU,2,2:19,11 Kaitlin Burgess > No Play Type > Turnover,21,-,31
,,2:19,Misc Stat > Steal > Paisley Johnson,,,
,,2:19,Turnover > Any Type > Kaitlin Burgess,,,
BYU,2,2:14,3 Nani Falatea > Transition > Leak Outs > Turnover,21,-,31
,,2:14,Turnover > Any Type > Nani Falatea,,,
BSU,2,1:47,25 Rachel Bowers > Spot-Up > No Dribble Jumper > Open > Medium/17' to <3p > Make 2 Pts,23,-,31
,,1:47,Shot > Rachel Bowers > Any Type > 2 Point Attempt > Make 2 Pts,,,
